SMILES,Name,ID,Source,HeavyAtomCount,MolWt,MolLogP,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumRotatableBonds,NumAromaticRings,TPSA
COc1ccc(CC2COc3c(C)c(O)c(C)c(O)c3C2=O)c(O)c1,CHEMBL1094912,CHEMBL1094912,ChEMBL,25,344.363,2.863,3,6,6,3,3,2,96.220
COc1cc2nc(N3CCN(C(=O)C4COc5cccc(OC)c5O4)CC3)nc(N)c2cc1OC,CHEMBL154714,CHEMBL154714,ChEMBL,35,481.509,1.726,2,11,10,1,5,3,121.500
CC(C)Oc1ccccc1N1CCN(CCc2ccc(C(=O)C(=O)N3CCCCCC3)n2C)CC1,CHEMBL1161051,CHEMBL1161051,ChEMBL,35,480.653,3.762,0,7,6,0,8,2,58.020
CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn([C@H]4CC[C@H](O)CC4)c3n2)cc1,CHEMBL610630,CHEMBL610630,ChEMBL,35,477.569,3.088,3,10,8,3,4,3,117.430
CC[C@@H]1C/C=CC(=O)[C@@H](O)[C@@H](O)C/C=Cc2cc(OC)cc(O)c2C(=O)O1,CHEMBL1077368,CHEMBL1077368,ChEMBL,27,376.405,1.990,3,7,7,3,2,1,113.290
Cc1ncccc1OC(C)C1=NCCN1,CHEMBL160738,CHEMBL160738,ChEMBL,15,205.261,1.159,1,4,4,1,3,1,46.510
CC(C)NC[C@H](O)c1ccc(NS(C)(=O)=O)c(O)c1,CHEMBL1160711,CHEMBL1160711,ChEMBL,19,288.369,0.795,4,6,5,4,6,1,98.660
O=S(=O)(c1ccc(Br)cc1)N1CCN(Cc2ccc3cccnc3c2O)CC1,CHEMBL1171716,CHEMBL1171716,ChEMBL,28,462.369,3.209,1,6,5,1,4,3,73.740
O=P1(O)OC[C@@H](O)[C@H](CO)OP(=O)(O)O1,CHEMBL1162462,CHEMBL1162462,ChEMBL,15,264.063,-1.028,4,9,7,4,1,0,142.750
C[C@@H](NCc1ccc(OCCc2ccccc2)cc1)C(N)=O,CHEMBL154609,CHEMBL154609,ChEMBL,22,298.386,2.271,3,4,3,2,8,2,64.350
Nn1c(S)nnc1COc1ccc(Cl)cc1Cl,CHEMBL1095997,CHEMBL1095997,ChEMBL,17,291.163,2.166,2,5,6,2,3,2,65.960
CC(C)=CCOc1ccc(C2CC2c2nnc3c4ccccc4cnn23)cc1,CHEMBL1088980,CHEMBL1088980,ChEMBL,28,370.456,4.894,0,5,5,0,5,4,52.310
N#Cc1cccc(-c2ccc3c(cnn3-c3ccc(F)cc3)c2)c1,CHEMBL1086312,CHEMBL1086312,ChEMBL,24,313.335,4.703,0,3,3,0,2,4,41.610
NC(=O)c1ccc2c(ccn2CC(=O)COc2ccc(-c3ccccc3)cc2)c1,CHEMBL1086063,CHEMBL1086063,ChEMBL,29,384.435,4.055,2,5,4,1,7,4,74.320
